_id,title,text,query
<dbpedia:Speech_synthesis>,Speech synthesis,"Speech Synthesis is the artificial production of human speech. A computer system used for this purpose is called a speech computer or speech synthesizer, and can be implemented in software or hardware products. A text-to-speech (TTS) system converts normal language text into speech; other systems render symbolic linguistic representations like phonetic transcriptions into speech.Synthesized speech can be created by concatenating pieces of recorded speech that are stored in a database.",what is speech synthesizer
<dbpedia:Nelly_Furtado>,Nelly Furtado,"Nelly Kim Furtado, ComIH (born December 2, 1978) is a Canadian singer and songwriter. She has sold 20 million albums worldwide and more than 20 million singles, bringing her total sales to over 40 million records around the world. Furtado first gained fame with her debut album, Whoa, Nelly!, which spawned two successful singles, ""I'm Like a Bird"" and ""Turn Off the Light"".",who is nelly furtado
<dbpedia:History_of_Estonia>,History of Estonia,"The history of Estonia is a part of the history of Europe. Estonia was settled near the end of the last glacial era, beginning from around 8500 BC.  Before the Germans invaded in the 13th century proto-Estonians of the Ancient Estonia worshipped the spirits of nature.",how is estonia located history
<dbpedia:Leopoldo_Galtieri>,Leopoldo Galtieri,"Leopoldo Fortunato Galtieri Castelli (15 July 1926 –  12 January 2003) was an Argentine general and President of Argentina from 22 December 1981 to 18 June  1982, during the last military dictatorship (known officially as the National Reorganization Process). The death squad, Intelligence Battalion 601, directly reported to him. He was removed from power soon after the British re-took the Falklands Islands, whose invasion and occupation he had ordered.",where is leopoldo galtieri now
<dbpedia:Los_Angeles_Pierce_College>,Los Angeles Pierce College,"For the four year college in Philadelphia, see Peirce CollegeLos Angeles Pierce College, also known as Pierce College and just Pierce, is a community college that serves more than 23,000 students in the northern Chalk Hills of Woodland Hills, a community within the San Fernando Valley region of the city of Los Angeles, California.The college began with 70 students and 18 faculty members on September 15, 1947. Originally known as the Clarence W.",what is pierce college
<dbpedia:Cyclone>,Cyclone,"In meteorology, a cyclone is an area of closed, circular fluid motion rotating in the same direction as the Earth. This is usually characterized by inward spiraling winds that rotate counterclockwise in the Northern Hemisphere and clockwise in the Southern Hemisphere of the Earth. Most large-scale cyclonic circulations are centered on areas of low atmospheric pressure. The largest low-pressure systems are cold-core polar cyclones and extratropical cyclones which lie on the synoptic scale.",what is a cyclone?
<dbpedia:298>,298,"Year 298 (CCXCVIII) was a common year starting on Saturday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Faustus and Gallus (or, less frequently, year 1051 Ab urbe condita). The denomination 298 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",what year is 298
<dbpedia:Roxette>,Roxette,"Roxette is a Swedish pop rock duo, consisting of Marie Fredriksson (vocals) and Per Gessle (vocals and guitar). Formed in 1986, the duo became an international act in the late 1980s, when they released their breakthrough album Look Sharp!. Their third album Joyride, which was released in 1991, became just as successful as its predecessor.",who are roxette
<dbpedia:299>,299,"Year 299 (CCXCIX) was a common year starting on Sunday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Valerius and Valerius (or, less frequently, year 1052 Ab urbe condita). The denomination 299 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",when is the year 299
<dbpedia:388>,388,"Year 388 (CCCLXXXVIII) was a leap year starting on Saturday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Augustus without colleague (or, less frequently, year 1141 Ab urbe condita). The denomination 388 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",which year was the year of augustus without cos ad
<dbpedia:Los_Angeles_Community_College_District>,Los Angeles Community College District,"The Los Angeles Community College District (LACCD) is the community college district serving Los Angeles, California, USA and some of its neighboring cities. Its headquarters are in Downtown Los Angeles. In addition to typical college aged students, the LACCD also serves adults of all ages. Indeed, over half of all LACCD students are older than 25 years of age, and more than a quarter are 35 or older.",what does laccd stand for
<dbpedia:297>,297,"Year 297 (CCXCVII) was a common year starting on Friday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Valerius and Valerius (or, less frequently, year 1050 Ab urbe condita). The denomination 297 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",what year was 297
<dbpedia:380>,380,"Year 380 (CCCLXXX) was a leap year starting on Wednesday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Augustus and Augustus (or, less frequently, year 1133 Ab urbe condita). The denomination 380 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",what is 380 year
<dbpedia:375>,375,"Year 375 (CCCLXXV) was a common year starting on Thursday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year after the Consulship of Augustus and Equitius (or, less frequently, year 1128 Ab urbe condita). The denomination 375 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",year number 375
<dbpedia:384>,384,"Year 384 (CCCLXXXIV) was a leap year starting on Monday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Ricomer and Clearchus (or, less frequently, year 1137 Ab urbe condita). The denomination 384 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",what year is 384?
<dbpedia:377>,377,"Year 377 (CCCLXXVII) was a common year starting on Sunday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Augustus and Merobaudes (or, less frequently, year 1130 Ab urbe condita). The denomination 377 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",when does year 377 start
<dbpedia:387>,387,"Year 387 (CCCLXXXVII) was a common year starting on Friday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Augustus and Eutropius (or, less frequently, year 1140 Ab urbe condita). The denomination 387 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",what year is 387
<dbpedia:Illative_case>,Illative case,"Illative (abbreviated ILL; from Latin illatus ""brought in"") is, in the Finnish language, Estonian language and the Hungarian language, the third of the locative cases with the basic meaning of ""into (the inside of)"". An example from Hungarian is ""a házba"" (into the house, with ""a ház"" meaning ""the house""). An example from Estonian is ""majasse"" and ""majja"" (into the house), formed from ""maja"" (a house). An example from Finnish is ""taloon"" (into the house), formed from ""talo"" (a house).",what does the term ill mean
<dbpedia:383>,383,"Year 383 (CCCLXXXIII) was a common year starting on Sunday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Merobaudes and Saturninus (or, less frequently, year 1136 Ab urbe condita). The denomination 383 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",what year is 383
<dbpedia:382>,382,"Year 382 (CCCLXXXII) was a common year starting on Saturday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Antonius and Syagrius (or, less frequently, year 1135 Ab urbe condita). The denomination 382 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",what is year 382
<dbpedia:386>,386,"Year 386 (CCCLXXXVI) was a common year starting on Thursday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Honorius and Euodius (or, less frequently, year 1139 Ab urbe condita). The denomination 386 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",what is the year 386
<dbpedia:Dutch_East_India_Company>,Dutch East India Company,"The United East Indian Company (Dutch: Vereenigde Oost-Indische Compagnie; VOC), referred to by the British as the Dutch East India Company, was originally established as a chartered company in 1602, when the Dutch government granted it a 21-year monopoly on Dutch spice trade. It is often considered to have been the first multinational corporation in the world  and it was the first company to issue stock.",when was dutch east india incorporated
<dbpedia:374>,374,"Year 374 (CCCLXXIV) was a common year starting on Wednesday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Augustus and Equitius (or, less frequently, year 1127 Ab urbe condita). The denomination 374 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",what are 374 days called?
<dbpedia:Anorexia_(symptom)>,Anorexia (symptom),"Anorexia is the decreased sensation of appetite. While the term in non-scientific publications is often used interchangeably with anorexia nervosa, many possible causes exist for a decreased appetite, some of which may be harmless, while others indicate a serious clinical condition or pose a significant risk.For example, anorexia of infection is part of the acute phase response (APR) to infection.",does anorexia cause a decrease in appetite
<dbpedia:Second_Boer_War>,Second Boer War,"The Second Boer War (Dutch: Tweede Boerenoorlog, Afrikaans: Tweede Vryheidsoorlog, literally ""Second Freedom War"") otherwise known as the Second Anglo-Boer War, was fought from 11 October 1899 until 31 May 1902 between the United Kingdom of Great Britain and Ireland and  the South African Republic (Transvaal Republic) and the Orange Free State.",what is the s. african boer war
<dbpedia:Nordic_Council>,Nordic Council,The Nordic Council is a geo-political inter-parliamentary forum for co-operation between the Nordic countries. It was formed after Second World War in 1952 to promote co-operation between the five Nordic countries. Its first concrete result was the introduction in 1952 of a common labour market and free movement across borders without passports for the countries' citizens.,what is the nordic council
<dbpedia:202>,202,"Year 202 (CCII) was a common year starting on Friday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Severus and Antoninus (or, less frequently, year 955 Ab urbe condita). The denomination 202 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",when is year 202
<dbpedia:Nutella>,Nutella,"Nutella (/nuːˈtɛlə/; Italian pronunciation: [nuˈtɛlla]) is the brand name of an Italian sweetened hazelnut chocolate spread.   Manufactured by the Italian company Ferrero, it was introduced to the market in 1964.",what is nutella
<dbpedia:Sophie_B._Hawkins>,Sophie B. Hawkins,"Sophie Ballantine Hawkins (born November 1, 1964) is an American singer, songwriter, musician and painter. Her highest-charting singles are ""Damn I Wish I Was Your Lover,"" ""Right Beside You,"" and ""As I Lay Me Down.""",who is sophie hawkins
<dbpedia:428>,428,"Year 428 (CDXXVIII) was a leap year starting on Sunday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Felix and Taurus (or, less frequently, year 1181 Ab urbe condita). The denomination 428 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",when is 428 year
<dbpedia:McLibel_case>,McLibel case,"McDonald's Corporation v Steel & Morris [1997] EWHC QB 366, known as ""the McLibel case"" was an English lawsuit for libel filed by McDonald's Corporation against environmental activists Helen Steel and David Morris (often referred to as ""The McLibel Two"") over a pamphlet critical of the company. Each of two hearings in English courts found some of the leaflet's contested claims to be libellous and others to be true.",who was the plaintiffs in the mclibel case?
<dbpedia:425>,425,"Year 425 (CDXXV) was a common year starting on Thursday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Theodosius and Valentinianus (or, less frequently, year 1178 Ab urbe condita). The denomination 425 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",when is 425 year
<dbpedia:Special_Olympics>,Special Olympics,"Special Olympics is the world's largest sports organization for children and adults with intellectual disabilities, providing year-round training and competitions to more than 4.4 million athletes in 170 countries.Special Olympics competitions are held every day, all around the world—including local, national and regional competitions, adding up to more than 70,000 events a year.",what does special olympics do
<dbpedia:203>,203,"Year 203 (CCIII) was a common year starting on Saturday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Plautianus and Geta (or, less frequently, year 956 Ab urbe condita). The denomination 203 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",what year is 204
<dbpedia:Adessive_case>,Adessive case,"In Uralic languages, such as Finnish, Estonian and Hungarian, the adessive case (abbreviated ADE; from Latin adesse ""to be present"") is the fourth of the locative cases with the basic meaning of ""on"".  For example, Estonian laud (table) and laual (on the table), Hungarian asztal and asztalnál (at the table). It is also used as an instrumental case in Finnish.In Finnish, the suffix is -lla/-llä, e.g. pöytä (table) and pöydällä (on the table).",what does adessive mean in finnish
<dbpedia:424>,424,"Year 424 (CDXXIV) was a leap year starting on Tuesday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Castinus and Victor (or, less frequently, year 1177 Ab urbe condita). The denomination 424 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",when is 424
<dbpedia:423>,423,"Year 423 (CDXXIII) was a common year starting on Monday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Marinianus and Asclepiodotus (or, less frequently, year 1176 Ab urbe condita). The denomination 423 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",what year is 423
<dbpedia:Charles_Manson>,Charles Manson,"Charles Milles Manson (born Charles Milles Maddox, November 12, 1934  ) is an American criminal who led what became known as the Manson Family, a quasi-commune that arose in the California desert in the late 1960s. In 1971 he was found guilty of conspiracy to commit the murders of seven people: actress Sharon Tate and four other people at Tate's home; and the next day, a married couple, Leno and Rosemary LaBianca; all carried out by members of the group at his instruction.",who is charles manson
<dbpedia:J._Michael_Straczynski>,J. Michael Straczynski,"Joseph Michael Straczynski (/strəˈzɪn.ski/; born July 17, 1954), known professionally as J. Michael Straczynski and informally as Joe Straczynski or jms, is an American writer and producer. He works in films, television series, novels, short stories, comic books, radio dramas and other media. Straczynski is a playwright, former journalist, and author of The Complete Book of Scriptwriting.",who was jms
<dbpedia:Allative_case>,Allative case,"Allative case (abbreviated ALL; from Latin allāt-, afferre ""to bring to"") is a type of the locative cases used in several languages. The term allative is generally used for the lative case in the majority of languages which do not make finer distinctions.",what are allative cases
<dbpedia:Vantaa>,Vantaa,"Vantaa (Finnish pronunciation: [ˈʋɑntɑː]; Swedish: Vanda) is a city and municipality in Finland. It is part of the inner core of the Finnish Capital Region along with Helsinki, Espoo, and Kauniainen. With its population of 212,473 (30 June 2015), Vantaa is the fourth most populated city of Finland. Vantaa is bordered by Helsinki, the Finnish capital, to the south; Espoo to the southwest; Nurmijärvi to the northwest; Kerava and Tuusula to the north; and Sipoo to the east.",where is vantaa finland
<dbpedia:Java_Message_Service>,Java Message Service,"The Java Message Service (JMS) API is a Java Message Oriented Middleware (MOM) API for sending messages between two or more clients. JMS is a part of the Java Platform, Enterprise Edition, and is defined by a specification developed under the Java Community Process as JSR 914. It is a messaging standard that allows application components based on the Java Enterprise Edition (Java EE) to create, send, receive, and read messages.",what is jms
<dbpedia:244>,244,"Year 244 (CCXLIV) was a leap year starting on Monday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Armenius and Aemilianus (or, less frequently, year 997 Ab urbe condita). The denomination 244 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",what is the year 244
<dbpedia:Partitive_case>,Partitive case,"The partitive case (abbreviated PTV or more ambiguously PART) is a grammatical case which denotes ""partialness"", ""without result"", or ""without specific identity"". It is also used in contexts where a subgroup is selected from a larger group, or with numbers.",what is a partitive case
<dbpedia:Chaz_Bono>,Chaz Bono,"Chaz Salvatore Bono (born Chastity Sun Bono, March 4, 1969) is an American advocate, writer, musician and actor. He is the only child of American entertainers Sonny and Cher.Bono is a transgender man. In 1995, several years after being outed as lesbian by the tabloid press, he publicly self-identified as such in a cover story in a leading American gay monthly magazine, The Advocate, eventually going on to discuss the process of coming out to oneself and to others in two books.",when was chaz bono born
<dbpedia:History_of_Burundi>,History of Burundi,"Burundi is one of the few countries in Africa, along with its closely linked neighbour Rwanda among others, to be a direct territorial continuation of a pre-colonial era African state.",what continent is burundi
<dbpedia:University_of_Cologne>,University of Cologne,"The University of Cologne (German: Universität zu Köln) is the sixth oldest university in Central Europe and, with more than 48,000 students, one of the largest universities in Germany. It is furthermore the German founding member of the Global Alliance in Management Education (CEMS). Since 2012 the university was awarded in the German Universities Excellence Initiative for its overall concept.",biggest university in germany
<dbpedia:Comitative_case>,Comitative case,"The comitative case (abbreviated COM) is a grammatical case that denotes accompaniment. In English, the preposition ""with"", in the sense of ""in company with"" or ""together with"", plays a substantially similar role (other uses of ""with"", e.g. with the meaning of ""using"" or ""by means of"" (I cut bread with a knife), correspond to the instrumental case or related cases).",what is the comitative case
<dbpedia:246>,246,"Year 246 (CCXLVI) was a common year starting on Thursday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Praesens and Albinus (or, less frequently, year 999 Ab urbe condita). The denomination 246 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",what year is 246
<dbpedia:Abessive_case>,Abessive case,"In linguistics, abessive (abbreviated ABE or ABESS), caritive and privative (abbreviated PRIV) is the grammatical case expressing the lack or absence of the marked noun. In English, the corresponding function is expressed by the preposition without or by the suffix -less.The name abessive is derived from Latin abesse ""to be away/absent"", and is especially used in reference to Uralic languages.",what is the abessive case
<dbpedia:241>,241,"Year 241 (CCXLI) was a common year starting on Friday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Gordianus and Pompeianus (or, less frequently, year 994 Ab urbe condita). The denomination 241 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",what year is 241
<dbpedia:248>,248,"Year 248 (CCXLVIII) was a leap year starting on Saturday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Philippus and Severus (or, less frequently, year 1001 Ab urbe condita). The denomination 248 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",when is the year 248
<dbpedia:Old_Church_Slavonic>,Old Church Slavonic,"Old Church Slavonic (pronunciation: /sləˈvɒnɪk/, /slæˈ-/), also known as Old Church Slavic (/ˈslaːvɪk/; often abbreviated to OCS; self-name словѣ́ньскъ ѩзꙑ́къ, slověnĭskŭ językŭ), was the first Slavic literary language. The 9th-century Byzantine Greek missionaries Saints Cyril and Methodius are credited with standardizing the language and using it in translating the Bible and other Ancient Greek ecclesiastical texts as part of the Christianisation of the Slavic peoples.",what was the first language in slavic
<dbpedia:Frank_Whittle>,Frank Whittle,"Air Commodore Sir Frank Whittle, OM, KBE, CB, FRS, Hon FRAeS (1 June 1907 – 9 August 1996) was an English Royal Air Force (RAF) engineer air officer. He is credited with single-handedly inventing the turbojet engine. A patent was submitted by Maxime Guillaume in 1921 for a similar invention; however, this was technically unfeasible at the time.  Whittle's jet engines were developed some years earlier than those of Germany's Dr.",who invented the turbo jet engine
<dbpedia:Absolutive_case>,Absolutive case,The absolutive case (abbreviated ABS) is the unmarked grammatical case of a core argument of a verb (generally other than the nominative) which is used as the citation form of a noun.,define absolutive
<dbpedia:249>,249,"Year 249 (CCXLIX) was a common year starting on Monday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Gavius and Aquilinus (or, less frequently, year 1002 Ab urbe condita). The denomination 249 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",what year is 249 in?
<dbpedia:243>,243,"Year 243 (CCXLIII) was a common year starting on Sunday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Arrianus and Papus (or, less frequently, year 996 Ab urbe condita). The denomination 243 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",what year is 243
<dbpedia:247>,247,"Year 247 (CCXLVII) was a common year starting on Friday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Philippus and Severus (or, less frequently, year 1000 Ab urbe condita). The denomination 247 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",what year was 247
<dbpedia:Inessive_case>,Inessive case,"Inessive case (abbreviated INE; from Latin inesse ""to be in or at"") is a locative grammatical case.  This case carries the basic meaning of ""in"": for example, ""in the house"" is ""talo·ssa"" in Finnish, ""maja·s"" in Estonian, ""etxea·n"" in Basque, ""nam·e"" in Lithuanian, ""sāt·ā"" in Latgalian and ""ház·ban"" in Hungarian.In Finnish the inessive case is typically formed by adding ""ssa/ssä"".  Estonian adds ""s"" to the genitive stem.",inessive case definition grammatically
<dbpedia:Sophie_Marceau>,Sophie Marceau,"Sophie Marceau (French pronunciation: ​[sɔfi maʁso]; born Sophie Danièle Sylvie Maupu 17 November 1966) is a French actress, director, screenwriter, and author. As a teenager, Marceau achieved popularity with her debut films La Boum (1980) and La Boum 2 (1982), receiving a César Award for Most Promising Actress. She became a film star in Europe with a string of successful films, including  L'Étudiante (1988), Pacific Palisades (1990), Fanfan (1993), and Revenge of the Musketeers (1994).",who is sophie marceau
<dbpedia:Viscometer>,Viscometer,"A viscometer (also called viscosimeter) is an instrument used to measure the viscosity of a fluid.   For liquids with viscosities which vary with flow conditions, an instrument called a rheometer is used.  Viscometers only measure under one flow condition.In general, either the fluid remains stationary and an object moves through it, or the object is stationary and the fluid moves past it. The drag caused by relative motion of the fluid and a surface is a measure of the viscosity.",what instrument is used to measure the viscosity of liquid
<dbpedia:Elative_case>,Elative case,"Elative (abbreviated ELA; from Latin efferre ""to bring or carry out"") is a locative case with the basic meaning ""out of"".In Finnish elative is typically formed by adding ""sta/stä"", in Estonian by adding ""st"" to the genitive stem.",what is a elative case
<dbpedia:Essive_case>,Essive case,"The essive or similaris case (abbreviated ESS) is one example of a grammatical case, an inflectional morphological process by which a form is altered or marked in order to indicate its grammatical function. Marking of the essive case on a noun can express it as a definite period of time during which something happens or during which a continuous action was completed.",essive meaning
"<dbpedia:Java_Platform,_Enterprise_Edition>","Java Platform, Enterprise Edition","Java Platform, Enterprise Edition or Java EE is a widely used enterprise computing platform developed under the Java Community Process. The platform provides an API and runtime environment for developing and running enterprise software, including network and web services, and other large-scale, multi-tiered, scalable, reliable, and secure network applications.",what does the java platform do for the enterprise
<dbpedia:Translative_case>,Translative case,"The translative case (abbreviated TRANSL) is a grammatical case that indicates a change in state of a noun, with the general sense of ""becoming X"" or ""change to X"".In the Finnish language, this is the counterpart of the essive case, with the basic meaning of a change of state.  It is also used for expressing ""in (a language)"", ""considering it's a (status)"" and ""by (a time)"". Its ending is -ksi.",translative case meaning
<dbpedia:Prolative_case>,Prolative case,"The prolative case (abbreviated PROL), also vialis case (abbreviated VIA), is a grammatical case of a noun or pronoun that has the basic meaning of ""by way of"".In the Finnish language, the so-called prolative has a restricted, by some almost fossilized meaning ""by (medium of transaction)"". That means, it can still be used for other words, but then does not sound 'native' / 'modern'.",what is a prolative case
<dbpedia:242>,242,"Year 242 (CCXLII) was a common year starting on Saturday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Gratus and Lepidus (or, less frequently, year 995 Ab urbe condita). The denomination 242 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",what year was 242 year
<dbpedia:Sudetenland>,Sudetenland,"The Sudetenland (Czech and Slovak: Sudety, Polish: Kraj Sudetów) is the German name (used in English in the first half of the 20th century) to refer to those northern, southwest, and western areas of Czechoslovakia which were inhabited primarily by German speakers, specifically the border districts of Bohemia, Moravia, and those parts of Silesia located within Czechoslovakia.The name is derived from that of the Sudetes mountains, which run along the northern Czech border as far as Silesia and contemporary Poland, although it encompassed areas well beyond those mountains.",sudetenland definition
<dbpedia:Meantone_temperament>,Meantone temperament,"Meantone temperament is a musical temperament, which is a system of musical tuning. In general, a meantone is constructed the same way as Pythagorean tuning, as a stack of perfect fifths, but in meantone, each fifth is narrow compared to the ratio 27/12:1 used in 12 equal temperament.",what is meantone temperament
<dbpedia:Radio_frequency>,Radio frequency,"Radio frequency (RF): any of the electromagnetic wave frequencies that lie in the range extending from around 7003300000000000000♠3 kHz to 7011300000000000000♠300 GHz, which include those frequencies used for communications or radar signals.   RF usually refers toelectrical rather than mechanical oscillations.",what is radio frequency spectrum
<dbpedia:Ninety-ninety_rule>,Ninety-ninety rule,"In computer programming and software engineering, the ninety-ninety rule is a humorous aphorism that states:The first 90 percent of the code accounts for the first 90 percent of the development time. The remaining 10 percent of the code accounts for the other 90 percent of the development time.This adds up to 180% in a wry allusion to the notoriety of software development projects significantly over-running their schedules (see software development effort estimation).",percentage rule for software development
<dbpedia:Hagia_Sophia>,Hagia Sophia,"Hagia Sophia (from the Greek: Ἁγία Σοφία, ""Holy Wisdom""; Latin: Sancta Sophia or Sancta Sapientia; Turkish: Ayasofya) is a former Christian patriarchal basilica (church), later an imperial mosque, and now a museum (Ayasofya Müzesi) in Istanbul, Turkey. From the date of its construction in 537 until 1453, it served as a Greek Orthodox cathedral and seat of the Patriarch of Constantinople, except between 1204 and 1261, when it was converted to a Roman Catholic cathedral under the Latin Empire.",where is hagia sophia
<dbpedia:Detection>,Detection,"In general, detection is the extraction of particular information from a larger stream of information without specific cooperation from or synchronization with the sender.In the history of radio communications, the term ""detector"" was first used for a device that detected the simple presence or absence of a radio signal, since all communications were in Morse code.",detection of communications definition
<dbpedia:Video_CD>,Video CD,"Video CD (abbreviated as VCD, and also known as Compact Disc digital video) is home  home video format and the first format for distributing films on standard 120 mm (4.7 in) optical discs.  The format was widely adopted in Southeast Asia instead of VHS and Betamax systems. The format is a standard digital format for storing video on a compact disc.",what is a cd
<dbpedia:Emory_University>,Emory University,"Emory University is a private research university in metropolitan Atlanta, located in the Druid Hills section of unincorporated DeKalb County, Georgia, United States. The university was founded as Emory College in 1836 in Oxford, Georgia by the Methodist Episcopal Church and was named in honor of Methodist bishop John Emory.  In 1915, the college relocated to metropolitan Atlanta and was rechartered as Emory University.",what county is emory university in
<dbpedia:240>,240,"Year 240 (CCXL) was a leap year starting on Wednesday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Sabinus and Venustus (or, less frequently, year 993 Ab urbe condita). The denomination 240 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",when is 240 year
<dbpedia:Cosmogony>,Cosmogony,"Cosmogony (or cosmogeny) is any model concerning the coming-into-existence (i.e. origin) of either the cosmos (i.e. universe), or the so-called reality of sentient beings. Developing a complete theoretical model has implications in both the philosophy of science and epistemology.",what is the definition of cosmogeny?
<dbpedia:Nikita_Khrushchev>,Nikita Khrushchev,"Nikita Sergeyevich Khrushchev (April 15 [O.S. April 3] 1894 – September 11, 1971) was a Russian politician who led the Soviet Union during part of the Cold War. He served as First Secretary of the Communist Party of the Soviet Union from 1953 to 1964, and as Chairman of the Council of Ministers, or Premier, from 1958 to 1964.",who is nikta khrushchev
<dbpedia:Indian_Trade>,Indian Trade,"The Native American Trade refers to historic trade between Europeans and their North American descendants and the Indigenous people of North America (today known as Native Americans in the United States, and First Nations in Canada, but formerly as ""Indians""), beginning before the colonial period and continuing through the 19th century, although declining before mid-century.The term Indian Trade describes the people involved in the trade. The products involved varied by region and era.",what is an indien trade
<dbpedia:Fusor>,Fusor,"A fusor is a device that uses an electric field to heat ions to conditions suitable for nuclear fusion.  The machine has a voltage between two metal cages inside a vacuum. Positive ions fall down this voltage drop, building up speed. If they collide in the center, they can fuse.  This is a type of Inertial electrostatic confinement device.A Farnsworth–Hirsch fusor is the most common type of fusor. This design came from work by Philo T. Farnsworth (in 1964) and Robert L. Hirsch in 1967.",what is a fusor
<dbpedia:239>,239,"Year 239 (CCXXXIX) was a common year starting on Tuesday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Gordianus and Aviola (or, less frequently, year 992 Ab urbe condita). The denomination 239 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",what date is 239
<dbpedia:Adjustable_spanner>,Adjustable spanner,"An adjustable wrench (US) or adjustable spanner (UK) is a wrench with a ""jaw"" of adjustable width, allowing it to be used with different sizes of fastener head (nut, bolt, etc.) rather than just one fastener, as with a conventional fixed spanner.",what is an adjustable wrench?
"<dbpedia:Java_Platform,_Micro_Edition>","Java Platform, Micro Edition","Java ME was designed by Sun Microsystems, acquired by Oracle Corporation in 2010; the platform replaced a similar technology, PersonalJava. Originally developed under the Java Community Process as JSR 68, the different flavors of Java ME have evolved in separate JSRs.",what is oracle's java platform
